Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio,Chollo,Probabilidad_Chollo
Qualcomm Snapdragon-X1E-80-100,16.0,DDR5,512.0,Qualcomm Adreno GPU,15.0,2496x1664,Windows 11 Home,66.0,1734.99,0,0.03
AMD Ryzen 7-5700U,8.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38.0,543.04,0,0.14
Intel Core i7-1255U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,42.0,564.02,1,1.0
Intel Core i7-1255U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,38.0,630.0,1,1.0
Intel Core i5-1130G7,8.0,DDR4,256.0,Intel Iris Xe Graphics,14.0,1920x1080,ChromeOS,54.0,929.99,1,0.83
Intel Core i5-13420H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,47.0,739.0,1,0.76
AMD Ryzen 5-5500U,8.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,38.0,562.99,0,0.14
Intel Core i5-12450H,16.0,DDR5,512.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,47.0,652.0,1,0.98
Intel Core i5-13420H,16.0,DDR4,512.0,Intel Iris Xe Graphics,17.3,1920x1080,Windows 11 Home,45.0,773.0,1,0.95
Intel Core i3-1315U,8.0,DDR4,256.0,Intel® UHD Graphics,17.3,1920x1080,Windows 11 Home,45.0,601.99,1,0.72
Intel Core Ultra 7-155H,32.0,DDR5,2.0,Intel Arc Graphics,16.0,2560x1600,Windows 11 Home,77.0,1851.0,1,0.63
Intel Core i3-1315U,8.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,No,38.0,380.99,1,0.98
Intel Core Ultra 7-155H,16.0,DDR5,512.0,Intel Arc Graphics,15.6,1920x1080,Windows 11 Home,72.0,1125.0,1,0.99
Intel Core Ultra 7-155H,16.0,DDR5,1.0,Intel Arc Graphics,17.0,2560x1600,Windows 11 Home,77.0,1728.99,1,0.76
Intel Core Ultra 7-155U,16.0,DDR5,1.0,Intel Graphics,14.0,1920x1200,Windows 11 Pro,57.0,1575.99,1,0.86
AMD 3000-3020E,8.0,DDR4,256.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,42.0,538.99,0,0.03
Intel Core Ultra 7-155U,16.0,DDR5,512.0,Intel Graphics,16.0,1920x1200,Windows 11 Pro,57.0,1558.0,1,0.97
Intel Core i9-14900HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,95.0,3906.33,0,0.15
